,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
0,39,4,77516,4,13,0,2,3,1,0,2174,0,40,28, <=50K
1,50,1,83311,4,13,1,8,1,1,0,0,0,13,28, <=50K
2,38,5,215646,15,9,5,9,3,1,0,0,0,40,28, <=50K
3,53,5,234721,12,7,1,9,1,4,0,0,0,40,28, <=50K
4,28,5,338409,4,13,1,14,2,4,1,0,0,40,1, <=50K
5,37,5,284582,11,14,1,8,2,1,1,0,0,40,28, <=50K
6,49,5,160187,5,5,3,5,3,4,1,0,0,16,11, <=50K
7,52,1,209642,15,9,1,8,1,1,0,0,0,45,28, >50K
8,31,5,45781,11,14,0,14,3,1,1,14084,0,50,28, >50K
9,42,5,159449,4,13,1,8,1,1,0,5178,0,40,28, >50K
10,37,5,280464,1,10,1,8,1,4,0,0,0,80,28, >50K
11,30,4,141297,4,13,1,14,1,3,0,0,0,40,26, >50K
12,23,5,122272,4,13,0,2,5,1,1,0,0,30,28, <=50K
13,32,5,205019,2,12,0,0,3,4,0,0,0,50,28, <=50K
14,40,5,121772,6,11,1,13,1,3,0,0,0,40,36, >50K
15,34,5,245487,0,4,1,11,1,0,0,0,0,45,27, <=50K
16,25,1,176756,15,9,0,12,5,1,0,0,0,35,28, <=50K
17,32,5,186824,15,9,0,3,0,1,0,0,0,40,28, <=50K
18,38,5,28887,12,7,1,0,1,1,0,0,0,50,28, <=50K
19,43,1,292175,11,14,5,8,0,1,1,0,0,45,28, >50K
20,40,5,193524,7,16,1,14,1,1,0,0,0,60,28, >50K
21,54,5,302146,15,9,2,5,0,4,1,0,0,20,28, <=50K
22,35,8,76845,5,5,1,12,1,4,0,0,0,40,28, <=50K
23,43,5,117037,12,7,1,11,1,1,0,0,2042,40,28, <=50K
24,59,5,109015,15,9,5,7,0,1,1,0,0,40,28, <=50K
25,56,6,216851,4,13,1,7,1,1,0,0,0,40,28, >50K
26,19,5,168294,15,9,0,13,5,1,0,0,0,40,28, <=50K
27,54,3,180211,1,10,1,10,1,3,0,0,0,60,30, >50K
28,39,5,367260,15,9,5,8,3,1,0,0,0,80,28, <=50K
29,49,5,193366,15,9,1,13,1,1,0,0,0,40,28, <=50K
30,23,6,190709,2,12,0,1,3,1,0,0,0,52,28, <=50K
31,20,5,266015,1,10,0,0,5,4,0,0,0,44,28, <=50K
32,45,5,386940,4,13,5,8,5,1,0,0,1408,40,28, <=50K
33,30,8,59951,1,10,1,2,5,1,0,0,0,40,28, <=50K
34,22,4,311512,1,10,1,5,1,4,0,0,0,15,28, <=50K
35,48,5,242406,12,7,0,3,0,1,0,0,0,40,21, <=50K
36,21,5,197200,1,10,0,3,5,1,0,0,0,40,28, <=50K
37,19,5,544091,15,9,6,2,2,1,1,0,0,25,28, <=50K
38,31,5,84154,1,10,1,0,1,1,0,0,0,38,36, >50K
39,48,1,265477,2,12,1,14,1,1,0,0,0,40,28, <=50K
40,31,5,507875,5,5,1,3,1,1,0,0,0,43,28, <=50K
41,53,1,88506,4,13,1,14,1,1,0,0,0,40,28, <=50K
42,24,5,172987,4,13,1,7,1,1,0,0,0,50,28, <=50K
43,49,5,94638,15,9,2,2,0,1,1,0,0,40,28, <=50K
44,25,5,289980,15,9,0,9,3,1,0,0,0,35,28, <=50K
45,57,8,337895,4,13,1,14,1,4,0,0,0,40,28, >50K
46,53,5,144361,15,9,1,3,1,1,0,0,0,38,28, <=50K
47,44,5,128354,11,14,5,8,0,1,1,0,0,40,28, <=50K
48,41,4,101603,6,11,1,13,1,1,0,0,0,40,28, <=50K
49,29,5,271466,6,11,0,14,3,1,0,0,0,43,28, <=50K
50,25,5,32275,1,10,1,8,2,2,1,0,0,40,28, <=50K
51,18,5,226956,15,9,0,5,5,1,1,0,0,30,36, <=50K
52,47,5,51835,10,15,1,14,2,1,1,0,1902,60,12, >50K
53,50,8,251585,4,13,5,8,3,1,0,0,0,55,28, >50K
54,47,0,109832,15,9,5,8,3,1,0,0,0,60,28, <=50K
55,43,5,237993,1,10,1,7,1,1,0,0,0,40,28, >50K
56,46,5,216666,3,3,1,3,1,1,0,0,0,40,27, <=50K
57,35,5,56352,6,11,1,5,1,1,0,0,0,40,21, <=50K
58,41,5,147372,15,9,1,2,1,1,0,0,0,48,28, <=50K
59,30,5,188146,15,9,1,3,1,1,0,5013,0,40,28, <=50K
60,30,5,59496,4,13,1,0,1,1,0,2407,0,40,28, <=50K
61,32,3,293936,0,4,3,10,3,1,0,0,0,40,36, <=50K
62,48,5,149640,15,9,1,11,1,1,0,0,0,40,28, <=50K
63,42,5,116632,7,16,1,14,1,1,0,0,0,45,28, >50K
64,29,5,105598,1,10,5,7,3,1,0,0,0,58,28, <=50K
65,36,5,155537,15,9,1,13,1,1,0,0,0,40,28, <=50K
66,28,5,183175,1,10,5,2,3,1,1,0,0,40,28, <=50K
67,53,5,169846,15,9,1,2,2,1,1,0,0,40,28, >50K
68,49,0,191681,1,10,1,8,1,1,0,0,0,50,28, >50K
69,25,3,200681,1,10,0,10,5,1,0,0,0,40,28, <=50K
70,19,5,101509,1,10,0,14,5,1,0,0,0,32,28, <=50K
71,31,5,309974,4,13,2,0,5,4,1,0,0,40,28, <=50K
72,29,1,162298,4,13,1,0,1,1,0,0,0,70,28, >50K
73,23,5,211678,1,10,0,3,3,1,0,0,0,40,28, <=50K
74,79,5,124744,1,10,1,14,4,1,0,0,0,20,28, <=50K
75,27,5,213921,15,9,0,5,5,1,0,0,0,40,27, <=50K
76,40,5,32214,2,12,1,2,1,1,0,0,0,40,28, <=50K
77,67,3,212759,13,6,1,10,1,1,0,0,0,2,28, <=50K
78,18,5,309634,12,7,0,5,5,1,1,0,0,22,28, <=50K
79,31,6,125927,0,4,1,12,1,1,0,0,0,40,28, <=50K
80,18,5,446839,15,9,0,0,3,1,0,0,0,30,28, <=50K
81,52,5,276515,4,13,1,5,1,1,0,0,0,40,1, <=50K
82,46,5,51618,15,9,1,5,2,1,1,0,0,40,28, <=50K
83,59,5,159937,15,9,1,0,1,1,0,0,0,48,28, <=50K
84,44,5,343591,15,9,5,13,3,1,1,14344,0,40,28, >50K
85,53,5,346253,15,9,5,0,5,1,1,0,0,35,28, <=50K
86,49,6,268234,15,9,1,1,1,1,0,0,0,40,28, >50K
87,33,5,202051,11,14,1,14,1,1,0,0,0,50,28, <=50K
